,gene,kl_divergence,p_value,fdr
324,Fam213a,0.2146566991587296,0.000999000999000999,0.004450398170876081
325,Nbea,0.21500479718025278,0.000999000999000999,0.004450398170876081
326,Sub1,0.2150390868999531,0.000999000999000999,0.004450398170876081
327,Morf4l1,0.2152351760871249,0.000999000999000999,0.004450398170876081
328,Vapa,0.21525628962516866,0.000999000999000999,0.004450398170876081
329,Rab2a,0.2156534060193108,0.000999000999000999,0.004450398170876081
330,Zfr,0.2160176636505685,0.000999000999000999,0.004450398170876081
331,Calm2,0.21636519214657884,0.000999000999000999,0.004450398170876081
332,Rhoa,0.21654637888808081,0.000999000999000999,0.004450398170876081
333,Rnf14,0.21655048863502926,0.000999000999000999,0.004450398170876081
334,Syt7,0.21656542912914586,0.000999000999000999,0.004450398170876081
335,Gdi2,0.21684152816296592,0.000999000999000999,0.004450398170876081
336,Pgk1,0.21790193302746091,0.000999000999000999,0.004450398170876081
337,Slc22a17,0.21812988035601788,0.000999000999000999,0.004450398170876081
338,Snhg11,0.21813974884927667,0.000999000999000999,0.004450398170876081
339,Gabra1,0.21831533016511334,0.000999000999000999,0.004450398170876081
340,Map1lc3a,0.2184191504212943,0.000999000999000999,0.004450398170876081
341,Hspa4,0.21852296461355286,0.000999000999000999,0.004450398170876081
342,Gprasp1,0.2188089735742847,0.000999000999000999,0.004450398170876081
343,Hnrnpa3,0.21903951447663308,0.000999000999000999,0.004450398170876081
344,Serbp1,0.21931022774014103,0.000999000999000999,0.004450398170876081
345,Sepw1,0.21972989230183815,0.000999000999000999,0.004450398170876081
346,Rpl15,0.21987072466416885,0.000999000999000999,0.004450398170876081
347,Gm5506,0.22003155722823767,0.000999000999000999,0.004450398170876081
348,Rab3a,0.22019167751967308,0.000999000999000999,0.004450398170876081
349,Ppp1cc,0.22020161506898944,0.000999000999000999,0.004450398170876081
350,Cycs,0.22027693656351344,0.000999000999000999,0.004450398170876081
351,Epb4.1l1,0.22028731932627105,0.000999000999000999,0.004450398170876081
352,Tcf25,0.2206744325413491,0.000999000999000999,0.004450398170876081
353,Rbm39,0.2210380705391759,0.000999000999000999,0.004450398170876081
354,Rpl14,0.2212292621351392,0.000999000999000999,0.004450398170876081
355,Ndufs2,0.221959082651915,0.000999000999000999,0.004450398170876081
356,Mat2a,0.22202236362560498,0.000999000999000999,0.004450398170876081
357,Rps3,0.22207286341812602,0.000999000999000999,0.004450398170876081
358,Mycbp2,0.22224710070628795,0.000999000999000999,0.004450398170876081
359,Arhgap5,0.22227346162959075,0.000999000999000999,0.004450398170876081
360,Chst2,0.22228907233598988,0.000999000999000999,0.004450398170876081
361,Cyc1,0.22266926760151937,0.000999000999000999,0.004450398170876081
362,Rps27a,0.222732394412416,0.000999000999000999,0.004450398170876081
363,Gapdh,0.22294744437853753,0.000999000999000999,0.004450398170876081
364,Atxn10,0.22302287021737094,0.000999000999000999,0.004450398170876081
365,Rpl19,0.22319847213347513,0.000999000999000999,0.004450398170876081
366,Elavl3,0.2233797766621919,0.000999000999000999,0.004450398170876081
367,Baalc,0.22340266051295327,0.000999000999000999,0.004450398170876081
368,Prkacb,0.22348349292604175,0.000999000999000999,0.004450398170876081
369,Idh3a,0.22390534172510573,0.000999000999000999,0.004450398170876081
370,Nrip3,0.22447923342856893,0.000999000999000999,0.004450398170876081
371,Dnm1,0.2245941914368538,0.000999000999000999,0.004450398170876081
372,Pten,0.22477631030708262,0.000999000999000999,0.004450398170876081
373,Vcp,0.22505817165642106,0.000999000999000999,0.004450398170876081
374,Stxbp1,0.2253750769076341,0.000999000999000999,0.004450398170876081
375,Zeb2,0.22555145793000306,0.000999000999000999,0.004450398170876081
376,Ppia,0.22556699419847648,0.000999000999000999,0.004450398170876081
377,Wbp2,0.22614968123770207,0.000999000999000999,0.004450398170876081
378,Ywhah,0.22627317224512347,0.000999000999000999,0.004450398170876081
379,Rpl32,0.22704148699629284,0.000999000999000999,0.004450398170876081
380,Nptn,0.22705028687711287,0.000999000999000999,0.004450398170876081
381,Sec14l1,0.22741285079957738,0.000999000999000999,0.004450398170876081
382,Dstn,0.22775215540189772,0.000999000999000999,0.004450398170876081
383,Elmo2,0.22789147331984685,0.000999000999000999,0.004450398170876081
384,Sh3bgrl,0.2289347265069061,0.000999000999000999,0.004450398170876081
385,Ndufb9,0.22920463599395444,0.000999000999000999,0.004450398170876081
386,Ptprs,0.22920666755353963,0.000999000999000999,0.004450398170876081
387,Mapre2,0.22931044862181785,0.000999000999000999,0.004450398170876081
388,Ddx17,0.22948542304352848,0.000999000999000999,0.004450398170876081
389,Gad2,0.23026152471970357,0.000999000999000999,0.004450398170876081
390,Spred1,0.23029339195243115,0.000999000999000999,0.004450398170876081
391,Rpl23,0.23045937325775767,0.000999000999000999,0.004450398170876081
392,Rpl27a,0.2305630413376112,0.000999000999000999,0.004450398170876081
393,Fau,0.23057037437855976,0.000999000999000999,0.004450398170876081
394,Mpc2,0.23063328656589432,0.000999000999000999,0.004450398170876081
