gene,cosine_similarity
Gm15800,0.83726597
Pacsin2,0.8371736
Ppig,0.83699346
Scd1,0.83690006
Ndufv3,0.83687073
Rps17,0.8367622
Pi4ka,0.83673507
Actr3,0.83669215
Syncrip,0.836442
Ssr3,0.8363875
Chd4,0.83629286
Nat8l,0.8361103
Mll1,0.8360016
Prkar1b,0.83583593
Kcnc1,0.8355361
Prss23,0.8355118
Pde4dip,0.8354018
Nr1d2,0.8353481
Rab5c,0.83528656
Dnm3,0.83519214
Ndufc1,0.83518195
Asrgl1,0.8351762
Adar,0.8349332
March6,0.83493316
Fam63b,0.83492965
A030009H04Rik,0.83489573
Cend1,0.83488303
Ndufs1,0.83486843
Atp6v1f,0.83464575
Lrp1,0.83459675
Dcaf7,0.8344948
Ube2m,0.8344626
Ppp2r5c,0.83444357
Acsbg1,0.83434826
X2510003E04Rik,0.83433783
Fam107a,0.83429563
Apbb1,0.83421195
Desi1,0.8340471
Mettl9,0.8340356
Igfbp5,0.83394134
S100a5,0.83393276
Fbxo11,0.8338799
Sptbn2,0.8338724
Pdxp,0.8336548
Tmed10,0.8336241
Top1,0.8334469
Atf2,0.8334111
Hdac11,0.83334255
Ube2h,0.8330519
Dhx9,0.8329484
Rc3h2,0.8329027
X6330403M23Rik,0.8328268
Rpl31,0.8328001
Cyb5b,0.83279693
Ppp1r9a,0.8327687
Rragd,0.8327064
Tppp,0.8326738
Lin7c,0.8326279
Dcx,0.8325461
Birc6,0.832463
Atp6v0a1,0.83235645
Ctnnd2,0.8323494
Ndufv1,0.8322661
Dnajc27,0.83219504
Wdr1,0.83214724
Trp53inp2,0.83205664
Smim13,0.83200246
Gm5643,0.8318995
X2700089E24Rik,0.8318911
Zyg11b,0.8318475
Rpl17,0.83170784
Swi5,0.83168584
Edf1,0.83139694
Atf4,0.83131653
Mapk9,0.8312447
Ptpn11,0.831193
Rps21,0.8310675
Igfbp2,0.83098936
Nfia,0.83088875
Tmem106b,0.8308147
Atp6ap1,0.8307855
Rhob,0.83073986
Hadhb,0.83051115
Srp54a,0.8303415
Ddb1,0.83022743
Tomm7,0.830201
Gucy1b3,0.8299261
Dlx1,0.82983476
Hcfc1r1,0.82979715
Nemf,0.8297541
Nrxn3,0.8297158
Npm1,0.82955533
Atp5g2,0.8295179
Pomp,0.8294895
Rab11b,0.8293026
Chmp2b,0.82929796
Kcnd3,0.8290719
Nlgn2,0.82871497
Stx12,0.82850343
Adrbk1,0.82848966
Th,0.82841593
Ctnnbip1,0.82832587
Celf5,0.82831615
Tmem50b,0.82831025
Tia1,0.8282404
Grik5,0.82821697
Ppt1,0.8282076
Higd1a,0.8281772
Glo1,0.82813483
Tial1,0.8281239
X2900011O08Rik,0.8280933
Fkbp2,0.82806885
Znrf1,0.8279447
Arf4,0.82784647
Ccser2,0.8277338
Rps7,0.82768846
Jam2,0.8275574
Rufy3,0.8275272
Cspg5,0.8274441
Cadm1,0.8272916
Nrcam,0.8271575
Phyh,0.82710207
Osbpl1a,0.82701844
Gfap,0.82685214
Rbm25,0.8266701
Xiap,0.82653505
Clic4,0.8263016
Map7d1,0.826197
Atp6v0d1,0.82613736
Fat1,0.8260513
Mgrn1,0.82605076
Tma7,0.82591033
X4833439L19Rik,0.82589114
Pnpla8,0.8258184
Mtmr6,0.8257961
Tacc1,0.82557106
Ahi1,0.82552
Rpl24,0.8254421
Atxn1,0.8253542
Cct5,0.82522166
Luc7l3,0.8250551
X8430419L09Rik,0.82496697
Srsf7,0.82491183
Dad1,0.8248986
Nars,0.8247332
Pdhb,0.82470983
Slc25a12,0.8245475
Ndufa11,0.82449967
Aamp,0.8244308
Ube2l3,0.82433164
Gspt1,0.82418513
Ankrd12,0.8241298
Mecp2,0.82408416
Spon1,0.82407355
Smg1,0.8240503
Madd,0.82391816
E030024N20Rik,0.82382643
Dnajb6,0.8236679
Psmb5,0.82363063
Maged1,0.8234726
Gpx1,0.8234585
Tmem229a,0.8233971
Dock3,0.82339543
Tmed2,0.82336956
Strn3,0.82331836
Epn2,0.8233092
Irf2bpl,0.8232008
Kcnd2,0.82318103
Sik3,0.8228208
Camk2g,0.82280695
Ski,0.8228044
Nmb,0.82274663
Snap47,0.82272005
Mxi1,0.8227014
Cisd1,0.8225835
Mll3,0.82257843
Rnf11,0.82257074
Ttyh3,0.8225335
Vapb,0.82231486
Fam171b,0.8222001
Stmn4,0.8221205
Nudt19,0.82206196
Rpl7,0.8219873
Eif4e,0.8218788
Rab11a,0.8218442
